,area_of_postal_code,population,male_population,female_population,median_age,male_median_age,female_median_age,postal_code,male_population_percentage,female_population_percentage
0,3.485,18404,8999,9405,39.7,39.1,40.2,V5L,48.9,51.1
1,4.901,25017,12233,12784,39.7,39.1,40.2,V5M,48.9,51.1
2,4.973,34638,16937,17701,39.7,39.1,40.2,V5N,48.9,51.1
3,5.2,34003,16627,17376,39.7,39.1,40.2,V5P,48.9,51.1
4,5.9,45955,22471,23484,39.7,39.1,40.2,V5R,48.9,51.1
5,7.4,32823,16050,16773,39.7,39.1,40.2,V5S,48.9,51.1
6,3.09,25375,12408,12967,39.7,39.1,40.2,V5T,48.9,51.1
7,3.729,22280,10894,11386,39.7,39.1,40.2,V5V,48.9,51.1
8,3.277,19808,9686,10122,39.7,39.1,40.2,V5W,48.9,51.1
9,6.6,33995,16623,17372,39.7,39.1,40.2,V5X,48.9,51.1
10,4.234,18819,9202,9617,39.7,39.1,40.2,V5Y,48.9,51.1
11,3.759,20910,10224,10686,39.7,39.1,40.2,V5Z,48.9,51.1
12,3.237,16294,7967,8327,39.7,39.1,40.2,V6A,48.9,51.1
13,2.385,30039,14688,15351,39.7,39.1,40.2,V6B,48.9,51.1
14,0.144,1517,742,775,39.7,39.1,40.2,V6C,48.9,51.1
15,1.245,26410,12914,13496,39.7,39.1,40.2,V6E,48.9,51.1
16,5.3,27851,13618,14233,39.7,39.1,40.2,V6G,48.9,51.1
18,2.71,19290,9432,9858,39.7,39.1,40.2,V6H,48.9,51.1
19,4.08,20491,10020,10471,39.7,39.1,40.2,V6J,48.9,51.1
20,3.157,26288,12854,13434,39.7,39.1,40.2,V6K,48.9,51.1
21,3.63,14265,6975,7290,39.7,39.1,40.2,V6L,48.9,51.1
22,4.445,18370,8982,9388,39.7,39.1,40.2,V6M,48.9,51.1
23,9.0,14754,7204,7550,39.9,39.3,40.4,V6N,48.8,51.2
24,9.3,33854,16554,17300,39.7,39.1,40.2,V6P,48.9,51.1
25,4.783,19612,9589,10023,39.7,39.1,40.2,V6R,48.9,51.1
26,10.7,12273,5986,6287,38.8,38.1,39.5,V6S,48.8,51.2
27,7.0,13277,6386,6891,32.8,30.8,34.6,V6T,48.1,51.9
28,26.0,12171,5869,6302,41.3,40.3,42.2,V6V,48.2,51.8
29,14.9,32367,15508,16859,41.9,40.8,43.0,V6X,47.9,52.1
30,0.665,16153,7898,8255,39.7,39.1,40.2,V6Z,48.9,51.1
31,23.2,985,473,512,41.5,40.4,42.5,V7B,48.0,52.0
32,29.5,18007,8722,9285,43.1,42.3,43.9,V7J,48.4,51.6
33,5.1,10574,5090,5484,43.1,42.0,44.2,V7P,48.1,51.9
34,26.1,16039,7771,8268,43.3,42.5,44.1,V7R,48.5,51.5
35,69.5,12226,5716,6510,49.9,49.0,50.6,V7S,46.8,53.2
36,7.6,32202,15760,16442,39.7,38.6,40.8,V5C,48.9,51.1
37,6.8,42263,20684,21579,39.7,38.6,40.8,V5H,48.9,51.1
38,5.9,24030,11750,12280,39.7,39.1,40.2,V5K,48.9,51.1
39,4.726,12275,5746,6529,49.1,48.2,49.9,V7T,46.8,53.2
40,6.7,14270,6671,7599,49.9,49.0,50.6,V7V,46.8,53.2
41,56.7,10280,5221,5059,36.7,36.7,36.8,V8B,50.8,49.2
42,0.0,0,0,0,0.0,0.0,0.0,V7X,0.0,0.0
43,0.0,0,0,0,0.0,0.0,0.0,V7Y,0.0,0.0
